request_id,hospital_id,blood_type,units_requested,units_fulfilled,date,urgency_level,fulfillment_rate
214,67,AB+,3,2,2023-10-26,Emergency,0.507
215,68,O+,8,8,2024-01-16,Routine,0.996
216,60,A+,5,5,2024-03-24,Urgent,0.903
217,53,A+,3,2,2023-02-25,Emergency,0.828
218,23,A+,10,9,2022-02-19,Routine,0.889
219,59,O+,1,1,2023-04-12,Urgent,0.655
220,52,A+,9,6,2024-07-29,Routine,0.618
221,5,B+,4,3,2024-05-09,Routine,0.805
222,3,O+,3,3,2023-12-04,Routine,0.896
223,41,B+,6,4,2023-05-15,Emergency,0.647
224,62,O+,6,5,2022-06-17,Routine,0.903
225,35,O+,5,4,2022-01-15,Urgent,0.734
226,11,O+,5,3,2022-05-18,Urgent,0.664
227,8,O+,9,7,2024-12-21,Urgent,0.793
228,72,A+,10,10,2022-03-19,Urgent,0.964
229,47,O+,2,2,2024-05-26,Urgent,0.808
230,39,A+,9,8,2024-11-30,Emergency,0.922
231,42,A+,1,1,2023-05-11,Emergency,0.834
232,24,A+,1,1,2022-08-14,Routine,0.984
233,54,AB+,10,7,2022-02-28,Urgent,0.678
234,37,B+,1,1,2023-12-14,Urgent,0.652
235,11,B+,2,1,2023-09-01,Emergency,0.741
236,10,A+,6,6,2023-11-06,Routine,0.952
237,14,O+,4,3,2022-03-08,Urgent,0.764
238,42,O+,9,7,2023-02-15,Routine,0.776
239,67,O+,10,7,2024-09-16,Urgent,0.73
240,40,O+,8,7,2023-03-21,Emergency,0.857
241,42,A+,4,4,2022-02-14,Routine,0.984
242,66,O+,5,4,2022-09-12,Emergency,0.726
243,51,A+,4,3,2024-01-24,Urgent,0.65
244,27,A+,2,2,2023-08-29,Routine,0.806
245,40,B+,8,6,2022-11-07,Emergency,0.733
246,40,O+,10,8,2023-04-10,Routine,0.808
247,13,O+,3,2,2022-08-19,Routine,0.791
248,72,O+,5,3,2022-05-23,Routine,0.623
249,49,A+,8,8,2022-05-04,Routine,0.955
250,26,B+,4,3,2022-09-11,Urgent,0.76
251,63,A+,10,7,2023-05-12,Routine,0.699
252,75,A+,7,5,2024-05-25,Urgent,0.774
253,3,A+,8,7,2022-07-28,Urgent,0.897
254,68,AB+,5,4,2023-05-14,Routine,0.815
255,1,O+,2,2,2022-11-12,Urgent,0.943
256,35,A+,3,2,2023-05-23,Routine,0.761
257,10,O+,6,5,2022-05-27,Emergency,0.786
258,7,A+,1,1,2023-12-17,Routine,0.65
259,9,O+,3,2,2022-12-05,Routine,0.699
260,73,B+,1,1,2024-06-15,Urgent,0.714
261,43,B+,10,9,2023-05-20,Routine,0.931
262,42,B+,7,7,2022-12-09,Routine,0.954
263,71,B+,9,8,2023-10-06,Urgent,0.927
264,56,AB+,6,4,2023-04-29,Routine,0.706
265,76,O+,8,6,2023-11-12,Routine,0.689
266,69,AB-,1,0,2022-08-08,Routine,0.213
267,40,AB+,1,1,2023-10-30,Emergency,0.792
268,70,O+,8,7,2022-01-20,Routine,0.842
269,36,O+,3,2,2022-06-10,Emergency,0.633
270,42,B+,5,4,2022-02-09,Routine,0.707
271,38,B+,9,8,2023-12-19,Routine,0.936
272,71,O+,7,4,2024-01-19,Emergency,0.599
273,60,A+,5,3,2023-04-02,Urgent,0.696
274,58,AB+,8,7,2024-06-28,Routine,0.912
275,49,O+,7,5,2022-05-20,Routine,0.749
276,40,B+,1,1,2022-11-26,Urgent,0.755
277,57,B+,9,8,2022-11-29,Routine,0.842
278,20,O+,6,5,2022-09-28,Urgent,0.796
279,66,A+,8,8,2022-07-06,Urgent,0.974
280,47,A+,5,5,2023-04-11,Routine,0.98
281,5,B+,8,7,2022-04-24,Routine,0.909
282,78,A+,10,8,2023-12-08,Urgent,0.765
283,59,O+,1,1,2022-05-22,Routine,0.615
284,22,A+,2,1,2022-10-30,Routine,0.726
285,19,A-,10,4,2023-11-18,Urgent,0.381
286,25,O+,2,2,2023-06-22,Routine,0.993
287,63,A+,7,4,2023-04-15,Routine,0.623
288,12,A+,4,3,2022-11-05,Urgent,0.638
289,5,B+,2,1,2022-06-27,Routine,0.644
290,19,O+,9,6,2022-02-01,Urgent,0.616
291,35,A+,6,5,2023-05-22,Routine,0.864
292,69,O+,1,1,2022-03-03,Routine,0.882
293,23,O+,2,2,2022-05-03,Routine,0.913
294,18,A+,5,5,2024-08-28,Routine,0.942
295,61,A+,5,3,2023-01-05,Routine,0.626
296,42,O+,4,4,2022-09-03,Urgent,0.93
297,66,A+,9,8,2024-07-11,Urgent,0.881
298,78,O+,5,4,2023-02-12,Urgent,0.839
299,49,A+,8,6,2022-08-04,Urgent,0.791
300,10,A+,7,7,2024-03-29,Emergency,0.963
301,34,A+,8,8,2022-08-31,Urgent,0.951
302,22,O+,5,4,2024-06-25,Urgent,0.8
303,79,A+,10,8,2022-07-10,Urgent,0.85
304,1,A+,2,1,2023-01-02,Routine,0.632
305,32,B+,8,7,2022-01-31,Routine,0.924
306,46,A+,1,1,2024-09-25,Routine,0.912
307,11,O+,1,1,2022-07-24,Routine,0.659
308,62,O+,4,3,2023-08-17,Urgent,0.725
309,39,A+,8,6,2022-10-26,Urgent,0.752
310,37,O+,10,8,2023-12-06,Urgent,0.751
311,15,O-,1,0,2024-11-17,Routine,0.447
312,10,B-,5,3,2022-02-23,Routine,0.678
313,12,O+,1,1,2024-03-22,Urgent,0.615
314,80,A+,5,4,2023-04-07,Routine,0.88
315,38,O+,9,8,2022-01-27,Routine,0.902
316,27,A+,6,5,2024-12-01,Urgent,0.825
317,33,B+,4,4,2024-03-31,Routine,0.91
318,24,O+,5,5,2022-05-18,Routine,0.96
319,26,B+,8,6,2023-05-06,Routine,0.733
320,13,B+,10,8,2022-02-04,Routine,0.781
321,17,A+,3,3,2022-01-19,Urgent,0.984
322,21,A+,7,6,2024-01-15,Urgent,0.803
323,47,O+,5,4,2022-12-13,Urgent,0.706
324,13,O+,5,4,2022-07-13,Routine,0.733
325,14,AB+,6,5,2023-05-02,Routine,0.89
326,33,A+,8,6,2023-12-22,Routine,0.719
327,32,B+,2,1,2024-02-17,Routine,0.743
328,35,A+,9,6,2023-02-10,Emergency,0.712
329,78,O+,2,1,2023-03-24,Routine,0.749
330,64,A+,3,2,2024-09-06,Urgent,0.623
331,36,O+,4,4,2022-01-13,Urgent,0.936
332,66,A+,6,4,2023-09-29,Routine,0.612
333,72,B+,5,4,2023-01-23,Emergency,0.845
334,55,O+,4,2,2023-10-27,Urgent,0.625
335,9,B+,2,1,2024-12-16,Routine,0.647
336,73,O+,8,6,2022-03-06,Routine,0.798
337,23,O+,1,1,2023-09-18,Routine,0.957
338,52,O+,7,4,2022-01-04,Emergency,0.562
339,47,B+,4,4,2023-05-03,Routine,0.979
340,20,AB+,7,7,2023-08-06,Urgent,0.973
341,37,O+,4,3,2024-06-08,Urgent,0.852
342,80,A-,2,1,2024-01-10,Routine,0.343
343,77,O+,8,7,2024-07-12,Routine,0.828
344,22,A+,5,3,2023-10-04,Routine,0.692
345,3,O+,6,5,2024-07-17,Routine,0.821
346,16,A+,8,5,2023-09-22,Routine,0.672
347,7,AB+,2,2,2022-10-29,Urgent,0.887
348,25,O+,8,7,2024-06-18,Urgent,0.914
349,24,O+,4,4,2022-01-26,Routine,0.982
350,17,A+,3,3,2024-07-17,Urgent,0.868
351,63,A+,5,4,2024-02-12,Routine,0.755
352,51,A+,5,3,2023-09-22,Urgent,0.698
353,65,A-,9,4,2024-09-13,Urgent,0.436
354,73,B+,4,4,2023-07-01,Urgent,0.938
355,5,O+,8,8,2022-10-05,Emergency,0.964
356,53,O+,2,2,2022-02-14,Emergency,0.948
357,12,O+,10,9,2024-06-08,Urgent,0.907
358,76,A+,1,1,2022-04-28,Routine,0.707
359,24,AB+,1,1,2024-09-18,Routine,0.688
360,21,B+,9,9,2022-05-06,Emergency,0.961
361,55,B+,8,5,2024-09-09,Urgent,0.635
362,17,A+,1,1,2024-11-12,Emergency,0.882
363,19,A+,10,9,2022-09-08,Urgent,0.875
364,45,O+,8,8,2023-01-07,Urgent,0.941
365,55,B+,5,4,2023-02-04,Emergency,0.858
366,22,B+,3,2,2022-05-26,Emergency,0.571
367,7,A-,1,1,2024-06-24,Urgent,0.68
368,62,O-,8,2,2023-07-10,Urgent,0.204
369,67,O+,7,6,2024-06-17,Routine,0.823
370,19,A+,1,1,2024-05-11,Routine,0.973
371,15,B+,7,6,2024-04-28,Routine,0.839
372,35,A+,7,6,2024-08-16,Urgent,0.817
373,59,AB+,3,2,2022-06-11,Routine,0.635
374,51,O+,10,8,2023-12-14,Routine,0.764
375,58,O+,1,1,2023-03-25,Routine,0.776
376,43,A+,6,4,2023-12-29,Emergency,0.628
377,34,O-,9,6,2022-11-19,Urgent,0.641
378,72,A+,8,4,2023-11-16,Emergency,0.562
379,63,A+,2,2,2022-03-24,Routine,0.868
380,56,O+,9,6,2023-08-25,Routine,0.712
381,52,O-,9,3,2024-06-15,Urgent,0.312
382,8,B+,2,2,2023-10-11,Routine,0.767
383,24,A+,4,3,2024-01-06,Routine,0.665
384,68,O-,9,6,2022-09-11,Routine,0.653
385,7,A-,4,3,2022-03-13,Routine,0.652
386,71,B+,1,1,2023-03-20,Emergency,0.755
387,59,A+,2,2,2022-07-23,Routine,0.808
388,63,A+,8,7,2022-11-11,Routine,0.817
389,18,O+,1,1,2023-09-04,Urgent,0.914
390,5,A-,3,2,2023-06-29,Routine,0.638
391,70,A+,2,2,2022-05-27,Routine,0.813
392,74,A+,2,2,2024-08-13,Routine,0.789
393,9,B+,3,3,2024-07-07,Emergency,0.981
394,41,O+,3,2,2023-06-02,Urgent,0.766
395,1,A+,6,4,2022-09-16,Routine,0.621
396,35,O+,2,2,2022-03-25,Urgent,0.867
397,51,A+,2,1,2023-05-22,Routine,0.672
398,34,O+,8,5,2024-11-16,Routine,0.675
399,44,A+,6,6,2024-10-12,Urgent,0.982
400,75,A+,8,7,2024-06-11,Urgent,0.892
401,39,O+,4,3,2022-12-19,Urgent,0.775
402,20,A+,8,6,2022-11-14,Urgent,0.704
403,45,O+,2,2,2023-03-01,Emergency,0.861
404,62,AB+,10,10,2024-08-13,Urgent,0.994
405,16,O+,7,4,2022-01-16,Emergency,0.569
406,9,O+,8,6,2022-05-04,Routine,0.734
407,48,A+,10,7,2024-04-17,Routine,0.717
408,62,A+,1,1,2022-03-16,Emergency,0.735
409,34,O+,2,2,2024-01-09,Routine,0.963
410,71,B+,1,1,2022-10-15,Emergency,0.825
411,73,O+,5,5,2023-04-05,Urgent,0.906
412,57,O+,5,4,2023-10-27,Emergency,0.833
413,64,O+,2,2,2023-02-08,Routine,0.979
414,3,B-,8,3,2024-03-13,Emergency,0.413
415,59,A+,9,8,2022-09-15,Emergency,0.868
416,22,B+,7,4,2023-10-22,Routine,0.62
417,5,B+,4,4,2022-02-08,Urgent,0.917
418,57,O+,4,4,2022-01-16,Routine,0.928
419,22,O+,5,3,2023-06-02,Emergency,0.571
420,54,O+,7,5,2022-02-11,Urgent,0.774
421,34,B+,7,7,2024-02-24,Routine,0.981
422,55,O+,9,8,2024-04-13,Urgent,0.902
423,25,O+,1,1,2024-08-23,Routine,0.678
424,50,O+,8,6,2024-06-29,Urgent,0.784
425,27,A+,6,6,2022-07-09,Urgent,0.991
426,20,O+,8,8,2024-05-25,Urgent,0.981
427,76,B-,9,5,2024-10-31,Urgent,0.525
428,15,B+,7,7,2023-02-24,Emergency,0.937
429,42,A+,6,4,2023-07-03,Routine,0.715
430,24,AB+,2,2,2023-10-27,Routine,0.997
431,66,O-,6,1,2022-05-27,Urgent,0.228
432,77,B-,8,4,2024-09-21,Urgent,0.453
433,59,A+,3,2,2023-04-06,Urgent,0.813
434,26,A+,6,4,2023-12-26,Routine,0.631
435,79,B-,6,2,2023-11-02,Urgent,0.318
436,73,O+,9,5,2024-06-05,Routine,0.61
437,74,O+,9,8,2024-12-24,Routine,0.9
438,52,B+,7,6,2024-03-09,Routine,0.892
439,28,B+,6,6,2023-10-13,Urgent,0.99
440,2,O+,1,1,2024-03-28,Emergency,0.76
441,61,O+,10,9,2023-02-13,Routine,0.904
442,36,O+,10,7,2022-09-09,Routine,0.72
443,69,A-,9,3,2022-12-19,Urgent,0.319
444,42,O+,5,4,2022-09-02,Routine,0.739
445,66,O+,6,3,2024-01-09,Emergency,0.579
446,57,O+,10,8,2022-07-11,Emergency,0.809
447,4,O+,7,6,2022-09-16,Urgent,0.843
448,9,O+,4,3,2022-07-31,Urgent,0.817
449,80,A-,9,3,2024-10-20,Routine,0.353
450,13,B+,3,3,2022-10-23,Urgent,0.985
451,67,A+,1,1,2022-12-25,Routine,0.715
452,55,A+,7,6,2023-09-30,Routine,0.812
453,78,O+,4,3,2022-04-13,Urgent,0.681
454,11,O+,1,1,2023-04-09,Routine,0.848
455,36,A+,5,4,2022-04-19,Routine,0.858
456,51,O+,4,3,2024-10-14,Routine,0.787
457,38,O+,1,1,2024-02-23,Urgent,0.641
458,41,O+,10,9,2023-12-30,Urgent,0.905
459,60,O+,1,1,2023-05-30,Urgent,0.767
460,38,O+,2,2,2023-12-05,Urgent,0.895
461,14,B+,4,3,2022-01-19,Urgent,0.651
462,43,O+,7,5,2023-07-05,Routine,0.755
463,17,O+,5,5,2024-06-10,Routine,0.983
464,54,O+,7,6,2023-02-24,Routine,0.791
465,56,O+,10,7,2023-02-23,Routine,0.665
466,22,AB+,4,3,2024-07-25,Routine,0.65
467,63,B+,5,5,2024-05-21,Emergency,0.929
468,73,O+,1,1,2024-04-14,Emergency,0.885
469,74,B-,5,3,2022-12-06,Routine,0.566
470,9,A+,6,5,2024-07-16,Routine,0.83
471,76,AB-,5,2,2023-05-08,Routine,0.349
472,70,O+,4,3,2024-08-29,Urgent,0.813
473,41,A+,1,1,2023-05-28,Emergency,0.829
474,6,B+,3,3,2024-05-06,Emergency,0.966
475,15,A+,1,1,2023-03-11,Emergency,0.729
476,66,O+,10,10,2023-12-08,Routine,0.963
477,67,A+,1,1,2022-11-21,Routine,0.921
478,17,O+,7,7,2024-12-15,Routine,0.971
479,69,AB+,4,3,2024-04-20,Routine,0.744
480,2,O+,2,2,2023-06-09,Routine,0.902
481,69,O+,4,4,2022-06-20,Urgent,0.911
482,61,A+,9,7,2023-11-15,Routine,0.831
483,27,B+,5,5,2022-04-16,Routine,0.996
484,66,A+,3,3,2022-04-08,Emergency,0.972
485,59,AB+,3,2,2023-04-06,Urgent,0.663
486,69,A+,1,1,2024-11-12,Urgent,0.845
487,40,B+,10,8,2024-07-03,Routine,0.792
488,44,B+,7,4,2022-05-28,Urgent,0.61
489,63,O+,6,5,2023-09-28,Urgent,0.885
490,48,A+,9,6,2023-09-05,Routine,0.624
491,67,O+,2,2,2022-04-14,Urgent,0.774
492,66,B+,6,5,2023-06-22,Routine,0.797
493,3,O+,10,7,2022-07-27,Emergency,0.685
494,68,A+,5,4,2023-03-15,Urgent,0.886
495,46,O+,1,1,2022-11-13,Urgent,0.668
496,42,AB+,8,8,2024-07-07,Urgent,0.995
497,72,O+,8,6,2022-08-14,Urgent,0.795
498,57,O+,9,6,2023-11-29,Routine,0.616
499,13,A-,5,1,2024-04-25,Routine,0.205
500,10,O-,10,7,2023-02-23,Emergency,0.698
501,47,A+,4,3,2022-06-23,Urgent,0.648
502,78,O+,3,2,2023-07-18,Urgent,0.685
503,40,A-,3,1,2022-01-19,Urgent,0.276
504,47,A+,6,5,2022-11-29,Routine,0.818
505,79,A-,8,4,2023-06-21,Urgent,0.504
506,14,O+,8,8,2023-01-05,Routine,0.973
507,26,AB+,6,6,2022-07-29,Routine,0.928
508,43,O-,6,1,2023-07-06,Routine,0.249
509,78,B+,9,7,2024-09-22,Emergency,0.771
510,63,O+,8,7,2023-06-24,Routine,0.933
511,35,O+,10,8,2023-03-20,Routine,0.752
512,9,O+,7,5,2022-02-21,Urgent,0.699
513,15,A+,4,4,2022-09-07,Routine,0.95
514,38,AB+,1,1,2024-11-11,Urgent,0.675
515,53,A+,2,1,2023-03-22,Urgent,0.719
516,12,O+,6,5,2023-08-01,Routine,0.81
517,45,O+,8,6,2024-07-24,Routine,0.697
518,10,A+,6,5,2024-03-02,Routine,0.792
519,64,B+,4,4,2024-07-29,Routine,0.936
520,11,A+,8,5,2024-06-20,Routine,0.633
521,8,AB+,8,5,2023-08-24,Emergency,0.684
522,64,B+,4,2,2023-07-09,Routine,0.621
